filename,extension,size_bytes,sha256,synthetic,purpose
00_README_FIRST.md,.md,1339,bb3c054bed4cb606f45ffe5a3af1c8e3190f20d84bb71dc4169744aa7c13566e,yes,Synthetic evidence fixture
01_email_product_owner_priority_change.eml,.eml,664,23085d62f341c91cf7b30581525712938d315454f7e25423b04dfcf4b682706b,yes,Synthetic evidence fixture
02_email_engineering_storage_privacy.eml,.eml,691,3b44aa2a7170a3765a736b0b1e2db5b12154ab6dfc93c10348a9022ffa2383df,yes,Synthetic evidence fixture
03_founder_review_meeting_minutes.docx,.docx,71956,6b30270b2ba83d55d8f1862e96ff72a2027e894b6d3fce46444c501fbb51cdc8,yes,Synthetic evidence fixture
04_workout_requirements_matrix.xlsx,.xlsx,8189,dcbc419290fa7a3246dccf98bc69fb126e9639c79afa5219a4349546c1f559aa,yes,Synthetic evidence fixture
05_mobile_wireframe_review.pptx,.pptx,45259,56509adaed51e0e8ad90371b1276256e586014c0d3ba25ce2282d1195aab360b,yes,Synthetic evidence fixture
06_beta_user_feedback_summary.pdf,.pdf,31836,8aa9eca79874ab58f9ad83e440e7bdfc97cb123ec3db99ce7c735966e3090dee,yes,Synthetic evidence fixture
07_architecture_chat_export.txt,.txt,683,7e8ca3ab85ffc5c7566aa1822d18e8a3166a068742bad96122f369e8811461b4,yes,Synthetic evidence fixture
08_stale_feature_request_v0_8.docx,.docx,37004,c6c313cfb46ca0b3d91a7935947b0cb718138617169ccb91750b7204e7999a49,yes,Synthetic evidence fixture
09_whiteboard_workflow_photo.png,.png,37994,f9b0f936cdb597789597972c1e8c083e33e8e1d1ae9793594108d0239b77e716,yes,Synthetic evidence fixture
10_mobile_webapp_screenshot_feedback.png,.png,20239,137ace1ccfab597adc7fc48b4dc3d83b64e191a6872ee9373e9f8efc59d06283,yes,Synthetic evidence fixture
11_EXPECTED_CONFLICTS.md,.md,1205,e9ecd2f4e544f3d8183a3778999ef1f3ad2eb5f65582df7a2a9529cad45a7674,yes,Synthetic evidence fixture
12_EXPECTED_EXTRACTION_FEATURES.md,.md,810,666cd947d60167e14a39ecc9cf577c534bcb369286215fa345bba2347a4a41ea,yes,Synthetic evidence fixture
